GPIO_EXIT13 (external interrupt)   PC13

RCC_OSC32_IN  PC14
RCC_OSC32_OUT  PC15
RCC_OSC_IN   PH0
RCC_OSC_OUT   PH1

UART4_TX(OpenMV)  PA0
UART4_RX(OpenMV)  PA1
USART1_TX(communication for test)  PA9
USART1_RX(communication for test)  PA10
USART2_TX(front ultrasonic)  PA2
USART2_RX(front ultrasonic)  PA3
USART2_TX(side ultrasonic)  PC6
USART2_RX(side ultrasonic)  PC7

GPIO_Output(LED for test)  PA6
GPIO_Output(low voltage for L_moter)  PA7
GPIO_Output(high voltage for L_moter)  PC4
GPIO_Output(low voltage for R_moter)  PB1
GPIO_Output(high voltage for R_moter)  PB0

TIM1_CH1(timer for L_motor)  PA8
TIM1_CH4(timer for R_motor)  PA11

I2C1_SCL(compass)  PB6
I2C1_SDA(compass)  PB7

SYS_JTMS-SWDIO(debug)  PA13
SYS_JTCK-SWCLK(debug)  PA14


